year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-01-03,Northbound,All Vehicles,230,143,147,245,473,1174,2014,2294,2249,2140,1962,2043,1989,1877,1839,1746,1746,1749,1572,1217,936,880,671,448,0,1
2017,2017-01-04,Northbound,All Vehicles,249,186,166,237,398,1154,2197,2395,2333,2243,2230,2178,1993,1909,1838,1807,1818,1947,1687,1296,930,940,705,486,0,1
2017,2017-01-05,Northbound,All Vehicles,267,167,190,233,478,1366,2186,2485,2407,2352,2229,2256,2024,1921,1885,1797,1826,1952,1597,1327,962,1005,717,498,0,1
2017,2017-01-06,Northbound,All Vehicles,294,165,191,263,481,1269,2114,2281,2403,2210,2091,2085,2096,2171,1953,1907,1995,2069,1885,1498,1198,968,869,653,0,1
2017,2017-01-07,Northbound,All Vehicles,443,270,247,279,361,764,1142,1336,1771,2407,2523,2522,2311,2179,2110,2008,1966,2123,2162,1675,1353,1151,1027,802,0,1
2017,2017-01-08,Northbound,All Vehicles,560,333,279,283,268,513,691,846,1276,2097,2208,2438,2515,2142,2129,2054,2087,2151,1936,1473,1238,1118,862,530,0,1
2017,2017-01-09,Northbound,All Vehicles,252,168,197,252,533,1511,2970,3145,2815,2370,2021,1977,1920,1816,1769,1861,1899,2006,1702,1243,1075,856,654,377,0,1
2017,2017-01-10,Northbound,All Vehicles,200,152,161,252,563,1551,2979,3189,2927,2474,2139,2010,1829,1760,1809,1820,1913,1912,1843,1310,1090,988,699,466,0,1
2017,2017-01-11,Northbound,All Vehicles,243,171,182,273,576,1602,3014,3133,2949,2454,2030,1976,1834,1804,1753,1779,1830,2059,1900,1402,1077,1004,772,486,0,1
2017,2017-01-12,Northbound,All Vehicles,242,170,171,291,586,1617,2987,3176,2977,2469,2144,2096,1955,1906,1884,1848,1872,2117,1892,1425,1159,991,814,478,0,1
2017,2017-01-13,Northbound,All Vehicles,326,214,215,283,592,1581,2890,3113,2979,2579,2099,2025,1977,1944,2003,1951,2042,2117,2005,1711,1234,1105,976,720,0,1
2017,2017-01-14,Northbound,All Vehicles,550,360,301,289,358,880,1328,1455,1870,2163,2348,2266,2452,2134,2172,1989,1956,2181,2163,1669,1311,1169,930,806,0,1
2017,2017-01-15,Northbound,All Vehicles,582,416,360,301,287,498,640,817,1149,2107,2405,2236,2263,2095,2159,1966,1957,1893,1757,1353,1156,1000,786,505,0,1
2017,2017-01-16,Northbound,All Vehicles,267,156,194,238,600,1615,3261,3389,3133,2517,2143,2026,1977,1820,1856,1771,1850,1919,1812,1355,1140,905,672,470,0,1
2017,2017-01-17,Northbound,All Vehicles,237,167,144,240,591,1716,3323,3507,3062,2563,2240,1892,1942,1802,1755,1778,1826,1994,1902,1406,1250,611,893,710,0,1
2017,2017-01-18,Northbound,All Vehicles,317,179,182,254,640,1718,3423,3353,3229,2692,2221,2014,1737,1796,1860,1869,1863,2204,1978,1516,1050,979,842,595,0,1
2017,2017-01-19,Northbound,All Vehicles,292,194,180,266,646,1729,3148,3435,3088,2674,2349,2151,2036,1812,1974,1954,2041,2232,2044,1370,1064,946,792,458,0,1
2017,2017-01-20,Northbound,All Vehicles,253,190,187,278,587,1743,3254,3329,2971,2645,2192,2010,1959,1999,1942,1895,1951,2277,2003,1523,1102,1038,898,654,0,1
2017,2017-01-21,Northbound,All Vehicles,458,294,277,297,352,934,1564,1623,1914,2249,2417,2331,2438,2298,2352,2175,2061,2203,2219,1746,1287,1173,985,771,0,1
2017,2017-01-22,Northbound,All Vehicles,596,421,382,309,315,542,662,898,1361,2211,2446,2618,2255,2283,2051,2041,2045,1983,1865,1504,1196,1101,833,542,0,1
2017,2017-01-23,Northbound,All Vehicles,249,153,177,294,584,1697,3355,3566,3150,2489,2172,1919,1871,1867,1953,1745,1820,2004,1796,1427,1087,950,634,420,0,1
2017,2017-01-24,Northbound,All Vehicles,232,155,169,282,629,1818,3475,3435,3094,2771,2220,1929,1911,1845,1704,1910,1929,2074,1775,1217,962,876,702,457,0,1
2017,2017-01-25,Northbound,All Vehicles,222,153,183,259,641,1840,3400,3512,3122,2664,2272,2155,2031,1918,1879,1942,1959,2230,2258,1806,1284,1002,862,613,0,1
2017,2017-01-27,Northbound,All Vehicles,315,200,211,300,524,1374,2327,2756,2620,2502,2284,2194,2238,2058,1992,1860,1995,2128,1857,1474,1105,1102,983,765,0,1
2017,2017-01-28,Northbound,All Vehicles,495,359,287,279,325,733,1081,1398,1787,2146,2346,2359,2275,2159,2117,2044,2021,2209,2158,1839,1296,1240,1090,832,0,1
2017,2017-01-29,Northbound,All Vehicles,532,352,344,282,307,463,647,877,1293,1977,2145,2280,2167,2111,2035,2053,2120,2206,1863,1381,1106,1009,733,474,0,1
2017,2017-01-30,Northbound,All Vehicles,280,167,172,307,590,1726,3396,3651,2986,2712,2174,1932,1815,1705,1845,1831,1802,1985,1727,1309,1061,889,623,397,0,0
2017,2017-01-31,Northbound,All Vehicles,205,165,174,260,629,1789,3489,3544,3205,2648,2109,1922,1792,1771,1879,1789,1941,2056,1852,1324,1075,909,639,436,0,0
2017,2017-02-01,Northbound,All Vehicles,217,136,186,280,618,1802,3511,3488,3291,2767,2255,2028,1858,1816,1997,1820,1972,2086,1991,1322,1040,848,744,455,0,0
2017,2017-02-02,Northbound,All Vehicles,222,168,190,293,663,1840,3396,3561,3112,2876,2264,2034,1933,1802,1880,1833,1888,2037,1794,1380,1008,913,701,502,0,0
2017,2017-02-03,Northbound,All Vehicles,252,181,194,282,648,1847,3432,3499,2972,2787,2300,2077,2024,1899,2010,1970,1993,2189,2132,1651,1242,1008,870,678,0,0
2017,2017-02-04,Northbound,All Vehicles,502,330,308,272,389,928,1528,1702,2052,2566,2667,2527,2376,2325,2165,1966,1895,2034,2067,1688,1279,1174,1008,756,0,0
2017,2017-02-05,Northbound,All Vehicles,557,346,358,325,298,521,682,1002,1327,2070,2131,2218,2123,1971,1979,1863,1945,2137,1800,1392,1344,1112,833,531,0,0
2017,2017-02-06,Northbound,All Vehicles,226,174,173,280,628,1798,3386,3555,3309,2745,2173,1881,1808,1779,1756,1827,1761,2074,1830,1196,993,866,661,394,0,0
2017,2017-02-07,Northbound,All Vehicles,212,149,167,266,639,1839,3386,3339,2903,2710,2243,2145,1847,1710,1822,1807,1905,2031,1644,1223,981,923,670,403,0,0
2017,2017-02-08,Northbound,All Vehicles,236,140,170,268,615,1807,3480,3469,3259,2787,2271,1946,1955,1878,1863,1825,1959,2100,1878,1258,1056,972,733,456,0,0
2017,2017-02-09,Northbound,All Vehicles,239,151,165,304,642,1790,3456,3619,3369,2836,2244,2045,1895,1884,1937,1946,2008,2164,2089,1472,1197,1029,792,519,0,0
2017,2017-02-10,Northbound,All Vehicles,293,194,216,306,640,1900,3446,3571,2980,2730,2096,2092,1996,1956,2069,1903,2077,2156,2038,1702,1361,1088,908,712,0,0
2017,2017-02-11,Northbound,All Vehicles,479,339,301,292,375,940,1578,1717,1965,2255,2275,2224,2216,2009,1997,1874,1921,2071,2145,1731,1472,1268,1103,839,0,0
2017,2017-02-12,Northbound,All Vehicles,550,431,355,303,298,495,696,982,1408,2200,2187,2148,2199,2083,2216,2194,2189,2307,1651,1346,1125,1022,749,534,0,0
2017,2017-02-13,Northbound,All Vehicles,238,164,165,277,627,1808,3430,3462,2999,3112,2180,1937,1920,1824,1818,1876,1942,2107,1799,1394,1091,937,642,426,0,0
2017,2017-02-14,Northbound,All Vehicles,221,157,171,289,658,1907,3508,3294,3069,3005,2114,1962,1846,1787,1873,1855,1901,2293,2119,1497,1071,947,717,461,0,0
2017,2017-02-15,Northbound,All Vehicles,268,165,164,280,652,1914,3457,3510,3053,3004,2274,2144,1859,1815,1920,1869,2000,2150,2114,1500,1100,1011,814,494,0,0
2017,2017-02-16,Northbound,All Vehicles,264,158,194,324,697,1917,3425,3457,3266,3014,2247,2033,1925,1796,1901,1833,2058,2140,2143,1509,1241,1005,734,494,0,0
2017,2017-02-17,Northbound,All Vehicles,264,193,213,288,661,1667,3468,3255,3222,2652,2219,2043,1921,1996,2090,1993,2134,2178,2214,1697,1224,1036,834,676,0,0
2017,2017-02-18,Northbound,All Vehicles,488,311,319,315,386,1051,1589,1826,2252,2412,2538,2667,2534,2391,2321,2155,2087,2249,2011,1781,1219,1048,964,804,0,0
2017,2017-02-19,Northbound,All Vehicles,632,409,349,344,320,545,689,912,1396,2278,2294,2616,2535,2238,2184,1949,2108,2030,1641,1350,1286,1037,790,588,0,0
2017,2017-02-20,Northbound,All Vehicles,300,173,184,279,629,1852,3404,3415,2967,2963,2282,1973,1832,1686,1830,1826,1846,2092,1878,1405,1091,923,714,449,0,0
2017,2017-02-21,Northbound,All Vehicles,231,151,172,280,654,1425,3549,3542,3238,2882,2236,1909,1910,1834,1960,1776,1869,2162,1919,1327,1120,937,842,513,0,0
2017,2017-02-22,Northbound,All Vehicles,243,163,160,254,666,1958,3489,3493,3328,3075,2255,2013,1832,1839,1939,1801,1936,2132,2046,1506,1185,1025,791,483,0,0
2017,2017-02-23,Northbound,All Vehicles,236,149,163,276,710,1835,3361,3074,2407,3302,2201,2100,1901,1870,1945,1917,1987,2230,2000,1608,1184,1066,737,494,0,0
2017,2017-02-24,Northbound,All Vehicles,278,184,218,298,634,1812,3410,3475,3011,2799,2263,2117,1815,1934,2095,2064,2196,2199,2351,1705,1347,1099,876,708,0,0
2017,2017-02-25,Northbound,All Vehicles,489,354,339,302,399,981,1591,1620,2084,2283,2345,2326,2377,2434,2327,2070,1941,2177,2041,1647,1217,1055,926,791,0,0
2017,2017-02-26,Northbound,All Vehicles,532,455,391,306,342,493,657,851,1393,2219,2133,2397,2536,2319,2258,2124,1986,2072,1725,1296,1110,955,690,413,0,0
2017,2017-02-27,Northbound,All Vehicles,231,155,184,253,585,1773,3434,3589,3038,2833,2190,2034,1908,1744,1797,1810,2017,2011,1692,1224,1019,870,632,442,0,0
2017,2017-02-28,Northbound,All Vehicles,194,134,163,268,661,1858,3404,3483,3060,3108,2260,2036,1901,1781,1866,1838,1950,2131,1869,1302,1106,971,709,427,0,0
2017,2017-03-01,Northbound,All Vehicles,217,153,177,264,620,1843,3259,3473,2747,3065,2422,2174,1956,1836,1795,1932,1905,2080,1857,1282,1064,958,704,453,0,0
2017,2017-03-02,Northbound,All Vehicles,243,185,189,263,597,1898,3451,3543,3101,3018,2274,2149,1881,1907,1948,1947,1942,2159,1961,1427,1199,922,823,550,0,0
2017,2017-03-03,Northbound,All Vehicles,278,191,207,280,666,1550,3238,2964,3101,2828,2287,2082,1966,1972,2050,1844,2161,2116,2044,1528,1143,957,834,590,0,0
2017,2017-03-04,Northbound,All Vehicles,441,319,302,282,370,967,1416,1616,2020,2258,2361,2432,2386,2312,2185,2027,2005,2059,2013,1597,1166,1032,881,736,0,0
2017,2017-03-05,Northbound,All Vehicles,521,388,417,338,350,524,669,839,1296,2178,2204,2367,2422,2345,2177,2018,1881,1913,1480,1173,1089,920,672,383,0,0
2017,2017-03-06,Northbound,All Vehicles,235,159,202,264,636,1813,3478,3459,3360,2666,2222,1987,1877,1781,1780,1794,1924,2016,1780,1274,1069,884,575,393,0,0
2017,2017-03-07,Northbound,All Vehicles,201,138,150,259,646,1470,3395,3362,3273,2953,2222,1917,1851,1817,1899,1796,1815,2101,1777,1376,1063,917,669,410,0,0
2017,2017-03-08,Northbound,All Vehicles,215,154,179,252,647,1891,3409,3205,3314,2988,2275,2038,1981,1839,1860,1921,2121,2145,2050,1367,1105,946,705,425,0,0
2017,2017-03-09,Northbound,All Vehicles,229,156,182,282,667,1883,3559,3564,3226,2921,2329,2007,1934,1861,1931,1956,2057,2138,2020,1520,1134,903,742,461,0,0
2017,2017-03-10,Northbound,All Vehicles,276,191,212,300,632,1910,3452,3580,2817,2727,2386,2152,2007,2004,2150,2133,2196,2293,2093,1763,1235,1001,868,727,0,0
2017,2017-03-11,Northbound,All Vehicles,532,319,340,332,354,977,1605,1788,2065,2319,2499,2647,2701,2480,2300,2095,2145,2221,2123,1638,1213,1058,953,826,0,0
2017,2017-03-12,Northbound,All Vehicles,555,455,372,333,322,490,657,918,1421,2242,2248,2514,2373,2247,2135,2101,2126,2131,1929,1353,1265,1005,725,492,0,0
2017,2017-03-13,Northbound,All Vehicles,265,160,187,283,628,1905,3428,3472,3158,2768,1978,1843,1707,1699,1755,1741,1813,1942,1683,1230,966,751,546,337,0,0
2017,2017-03-14,Northbound,All Vehicles,188,149,158,247,613,1870,2840,3507,3139,2821,2121,1924,1832,1641,1801,1684,1745,2018,1733,1171,975,824,681,383,0,0
2017,2017-03-15,Northbound,All Vehicles,213,142,168,275,615,1814,3322,3147,3181,2937,2177,1991,1830,1781,1871,1884,2023,2096,1828,1338,1106,861,700,433,0,0
2017,2017-03-16,Northbound,All Vehicles,245,160,184,280,679,1798,3320,3003,2618,3189,2442,1907,1852,1703,1800,1889,1941,1964,1853,1372,1029,863,644,454,0,0
2017,2017-03-17,Northbound,All Vehicles,214,201,163,301,608,1772,3324,3282,3137,2623,2093,1967,1923,1869,1963,1942,2083,2062,2057,1558,1177,927,821,646,0,0
2017,2017-03-18,Northbound,All Vehicles,503,321,312,329,362,937,1377,1763,1966,2197,2310,2447,2348,2233,2216,2021,1916,2105,2003,1636,1182,981,977,767,0,0
2017,2017-03-19,Northbound,All Vehicles,557,382,374,308,303,519,635,885,1314,2166,2356,2398,2377,2316,2051,2032,1950,1895,1586,1266,1155,1007,693,490,0,0
2017,2017-03-20,Northbound,All Vehicles,271,164,166,228,639,1823,3389,3508,3114,2732,2112,1882,1830,1762,1752,1733,1868,1927,1788,1273,1027,782,591,397,0,0
2017,2017-03-22,Northbound,All Vehicles,253,149,158,245,614,1896,3395,3257,3173,2987,2124,2025,1890,1689,1869,1815,1886,2040,1807,1336,1084,918,796,512,0,0
2017,2017-03-23,Northbound,All Vehicles,247,187,199,296,661,1869,3429,3455,3095,2805,2240,1933,1868,1775,1868,1911,1927,2025,1825,1391,1026,909,718,457,0,0
2017,2017-03-24,Northbound,All Vehicles,264,183,182,268,593,1830,3069,3133,3296,2776,2168,2087,1934,1949,1982,2360,2222,1884,1381,1012,906,731,305,,0,0
2017,2017-03-25,Northbound,All Vehicles,,289,309,306,375,1032,1601,1778,2012,2385,2441,2529,2460,2291,2305,2002,2013,2083,2060,1530,1177,1037,962,798,0,0
2017,2017-03-26,Northbound,All Vehicles,566,451,364,331,291,490,653,872,1353,2183,2220,2443,2437,2279,2088,1981,1971,1969,1754,1340,1249,968,700,459,0,0
2017,2017-03-27,Northbound,All Vehicles,221,156,173,263,629,1859,3340,3363,3130,2848,2187,1967,1821,1710,1710,1825,1839,1909,1711,1350,1111,836,603,389,0,0
2017,2017-03-28,Northbound,All Vehicles,184,151,165,273,608,1906,3285,3278,3325,2877,2205,1878,1940,1781,1822,1775,1927,2095,1871,1246,992,828,677,444,0,0
2017,2017-03-29,Northbound,All Vehicles,214,158,171,271,653,1824,3360,3414,3087,3048,2312,1973,1870,1694,1952,1780,2003,2054,2050,1682,1166,976,740,485,0,0
2017,2017-03-30,Northbound,All Vehicles,262,181,170,293,624,1874,3412,3439,3129,2836,2218,2035,1754,1765,1858,1873,1899,1925,1856,1237,977,827,634,431,0,0
2017,2017-03-31,Northbound,All Vehicles,296,186,170,292,614,1838,3358,3373,3083,2737,2237,1975,1996,1878,1935,2003,2047,2177,2053,1741,1254,1085,912,714,0,0
2017,2017-04-01,Northbound,All Vehicles,482,338,330,316,376,998,1617,1669,2024,2363,2391,2377,2443,2319,2227,2209,2080,2170,2286,1739,1233,984,903,729,0,0
2017,2017-04-03,Northbound,All Vehicles,132,141,168,275,623,1800,3356,3238,2979,3010,2274,1912,1798,1730,1755,1759,1870,1808,1641,1103,806,715,574,320,0,0
2017,2017-04-04,Northbound,All Vehicles,171,120,148,272,634,1870,3417,3132,2882,3184,2086,1964,1862,1776,1721,1726,1980,2137,1855,1284,1011,797,608,364,0,0
2017,2017-04-05,Northbound,All Vehicles,196,141,164,268,655,1962,3352,3116,3058,3090,2115,1937,1873,1817,1806,1882,1905,2049,1929,1363,1034,883,672,427,0,0
2017,2017-04-06,Northbound,All Vehicles,227,162,172,300,644,1962,3273,3122,3215,3212,2258,2003,1930,1865,1865,1922,1976,2184,2020,1541,1027,933,723,462,0,0
2017,2017-04-07,Northbound,All Vehicles,246,172,171,284,663,1936,3425,3258,3163,2734,2234,1981,1918,1882,2073,1972,2046,2222,2241,1764,1091,936,829,652,0,0
2017,2017-04-08,Northbound,All Vehicles,466,316,315,321,362,1051,1689,1889,2309,2436,2459,2456,2492,2395,2284,2109,2205,2231,1977,1785,1206,1019,949,762,0,1
2017,2017-04-09,Northbound,All Vehicles,535,381,338,318,330,545,715,1129,1739,2504,2272,2312,2324,2190,2068,2096,2076,1946,1676,1093,938,772,577,425,0,1
2017,2017-04-10,Northbound,All Vehicles,225,142,161,270,620,1831,3404,3191,2874,2824,2240,2104,1902,1825,1839,1763,1813,1874,1841,1342,943,783,570,397,0,1
2017,2017-04-11,Northbound,All Vehicles,211,140,164,272,606,1809,3313,3339,3124,2770,2306,2059,1828,1806,1845,1790,1916,2144,1819,1351,1018,929,624,394,0,1
2017,2017-04-12,Northbound,All Vehicles,211,154,188,259,680,1898,3377,3218,3072,2842,2207,2189,1921,1936,1966,1961,1907,1984,2080,1469,1013,892,641,407,0,1
2017,2017-04-13,Northbound,All Vehicles,239,149,149,289,624,1909,2751,2817,3067,2904,2204,2144,2138,2045,2004,1987,2033,2202,2068,1599,1193,1013,784,581,0,1
2017,2017-04-15,Northbound,All Vehicles,280,175,165,200,290,597,873,1320,1678,2079,2149,2334,2219,2108,1888,1780,1695,1850,1765,1164,892,884,955,742,0,1
2017,2017-04-16,Northbound,All Vehicles,421,291,245,264,253,393,465,758,1042,1664,1573,1717,1817,1664,1458,1605,1711,1747,1584,1206,982,835,706,422,1,1
2017,2017-04-18,Northbound,All Vehicles,156,124,159,258,618,1743,3192,3313,2597,2675,2143,1973,1908,1818,1872,1712,1843,2075,1726,1240,911,785,612,381,0,1
2017,2017-04-19,Northbound,All Vehicles,186,141,149,248,642,1650,3342,3258,2754,2586,2198,2021,1968,1830,1847,1831,1923,2001,1836,1317,920,844,677,361,0,1
2017,2017-04-20,Northbound,All Vehicles,250,151,173,282,626,1294,3036,3327,2927,2592,2271,1982,1816,1932,1951,1847,1947,2214,1932,1448,1043,934,683,452,0,1
2017,2017-04-21,Northbound,All Vehicles,236,182,177,294,616,1794,3242,3227,2768,2618,2131,2150,1994,1937,1966,1935,2066,1961,1940,1486,1067,879,766,697,0,1
2017,2017-04-22,Northbound,All Vehicles,386,321,270,307,378,972,1504,1770,2097,2278,2329,2488,2286,2274,2235,2055,1925,2018,2080,1502,994,947,966,663,0,1
2017,2017-04-23,Northbound,All Vehicles,445,358,319,291,319,525,644,974,1533,2231,2156,2283,2264,2095,2045,1878,1889,1977,1631,1165,943,791,637,440,0,1
